CdSecteurH;CdEuMasseD;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
Q7;FRFG031;-6.700211269020695;-1.5610976442930191;4.09318718713656;9.051937293746091;-4.658367348688608;9.137552703421958;-13.13655302190354;-1.4055951296024771;-9.9648106322324;-9.608947585912407;-9.47849425296996;-4.307039650153522;15.836459367946132;-0.567116411899049;-7.526030761087476;-10.46158425686804;14.515125933575243;-4.307039650153522
Q7;FRFG044;-6.217502909215156;1.1368317073308765;6.682452920904147;12.413767773509598;-2.9021868594836575;10.007645230347206;-15.290226786010797;-1.8492056931868397;-9.97383528871748;-13.597015363245037;-13.43546850204753;1.53612217778627;22.18231721032018;4.008712230052414;-17.041477564073414;-11.806728010003589;12.834562814325512;-1.8492056931868397
Q7;FRFG051A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q7;FRFG051B;-7.619944047977256;-1.998030233356618;4.065582059217854;2.9659732509807357;-6.059226379583049;6.513569804206298;-9.51987409762033;1.7465517955528975;-8.787186556971916;-11.14737421785038;-14.141199513455849;-12.83671688299629;4.620256631354769;-1.9305007807184804;-10.319222647807146;-8.770826492907435;10.374883108908794;-6.059226379583049
Q7;FRFG110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q8;FRFG028B;-5.167326134487071;-4.986020732095708;10.68193594705451;11.290820756370469;-2.8364447671834547;6.546915351187588;-10.644156494718093;-2.2129960972895213;-7.275309886243042;-19.305121405051473;-6.905898003940425;3.57170930281161;27.39023422131115;13.008912238760018;-14.701677597913443;-14.518651698505492;11.01899485156168;-2.8364447671834547
Q8;FRFG030;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q8;FRFG044;-6.2175029092151775;1.1368317073308989;6.682452920903925;12.413767773509576;-2.9021868594836575;10.00764523034723;-15.29022678601094;-1.849205693186906;-9.97383528871757;-13.597015363244935;-13.435468502047454;1.536122177786159;22.182317210320267;4.008712230052303;-17.041477564073503;-11.806728010003477;12.834562814325444;-1.849205693186906
Q8;FRFG051B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q8;FRFG082A;-4.595969312831638;6.027434401198395;9.869788647605994;14.77325832574008;-0.2490187914406694;12.172909794049216;-14.0776513730831;-3.4436445643002855;-6.86636643543217;-13.486631299679551;-10.928693336472383;1.30622131808813;22.93225691890033;5.857347314330941;-17.510459131446197;-6.330917813761627;13.049379034003184;-0.2490187914406694
Q8;FRFG083B;-5.339284489316021;-4.371032329349456;10.205132082309444;11.552821436679972;-2.629179057096631;6.600051013746899;-10.384906254639148;-1.902489159611076;-6.485794991671057;-20.394934601886728;-8.196990904874713;3.1074867103991988;24.652958267522116;12.252887497778664;-16.233235305952086;-15.066393550629163;11.121938313204003;-2.629179057096631
Q8;FRFG110;-6.492844404799348;-2.514088446572138;5.323100246687096;7.328849609642818;-4.726425682906843;9.526293545524789;-7.746202140390357;2.7504216311403873;-6.076920719387758;-12.907337388996975;-7.545810658268081;-7.824480263094191;12.709780105527637;1.6816408202519062;-8.038266444707865;-7.439068066713695;11.499797098497911;-4.726425682906843
