"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A8",-5.23160645544646
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A8",-1.46148599916097
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A8",13.7121933342507
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A8",4.3093088521454
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A8",15.4741261460454
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A8",-4.6360071811469
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A8",0.651751585000704
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A8",-7.92696541634841
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A9",22.2588671550711
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A9",12.6204809528589
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A9",5.62766385205526
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A9",20.6025212019376
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A9",2.41467701011513
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A9",2.62533236588138
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A9",7.60128873984296
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A9",2.34982945415729
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A9",-2.24173917787608
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A9",-2.6061837733958
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A9",-1.01669544738336
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A9",12.4799513832149
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A9",7.69422082486162
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A9",17.8393682766929
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A9",-4.96749891895546
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A9",0.653342968722237
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A9",-7.45664966617064
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","B0",18.4600208926951
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","B0",8.98779744201961
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","B0",4.34808815885612
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","B0",16.3182712012313
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","B0",1.52816070876172
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","B0",2.6314475339019
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","B0",10.675713203678
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","B0",2.08109664230698
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","B0",-3.46059134585227
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","B0",-3.29564624117969
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","B0",-1.10220359514329
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","B0",13.3360008229224
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","B0",4.77530892099609
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","B0",12.0924978709098
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","B0",-4.83093309075979
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","B0",1.18496474098382
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","B0",-2.54143755209959
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","B1",19.2393472264007
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","B1",8.34607580192566
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","B1",5.04151571828766
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","B1",16.3086612370769
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","B1",2.31478027623049
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","B1",2.35054929890781
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","B1",10.2120559233133
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","B1",2.24190596818914
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","B1",-2.48431893867925
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","B1",-4.07410667940557
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","B1",-0.833229226354926
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","B1",13.6658394337117
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","B1",4.55177694673707
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","B1",13.2922419768464
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","B1",-5.0742189501963
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","B1",1.06163950213036
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","B1",-4.08776214889954
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","B2",20.6362661820778
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","B2",5.73064862026904
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","B2",6.74818318722845
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","B2",15.528381171816
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","B2",4.15766007365381
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","B2",1.69669719797696
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","B2",9.69541151971136
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","B2",2.53684335757469
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","B2",-0.420485331319198
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","B2",-6.26077462439275
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","B2",-0.388655746938393
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","B2",14.6502764761414
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","B2",3.20634657404073
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","B2",15.0179285416755
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","B2",-5.54426531599098
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","B2",0.780592261980972
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","B2",-7.21324855935508
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","B3",20.1780539022577
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","B3",4.07221884942977
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","B3",6.63407942979872
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","B3",15.3539119503816
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","B3",4.85041881057291
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","B3",1.39713442846636
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","B3",8.51602408572412
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","B3",2.09214800560837
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","B3",-0.269803242700928
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","B3",-7.07465527734874
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","B3",-1.20119095651425
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","B3",14.3927752442843
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","B3",3.10526333789061
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","B3",13.748245547551
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","B3",-6.51388158181432
