ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
N3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.08192734766623,1973.03
V6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.40435943971256,2136.99
V5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.58343382727104,5731.3
V7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.4273506881766,3702.39
E5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.88843018740408,3208.7
V0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.71180491924706,3444.74
E4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.78943406323241,2242
V2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.47235343769115,3759.62
E6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.05693565521645,6568.99
V1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.51043698609014,5949.32
V4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.56802828404261,4936.32
V3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.49468388898114,5190.89
M5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.16016717167581,1855.87
M4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.12913424630775,233.31
M7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.1244825083051,2355.95
M6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.1195522684726,2539.61
M8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.03819161261701,2581.19
E1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.09399251582393,2658.4
E3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.97941713420091,2825.43
Q1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.03154737917485,1585.53
E2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.07032964723114,1209.69
Q0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.01605255125427,2461.06
Q3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.88964387566949,2194.24
Q2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.98124009967715,3146.1
Q5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.86888720117955,1425.1
Q4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.89122231793405,1368.2
Q7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.89681198387708,1534.31
Y9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.30824476123966,2891.97
Q6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.56192042763591,1089.34
