GCM-RCM;ZH;delta%;ref;fut;surface
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Z4;15.4;300.785;347.049;3
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A1;23;270.559;332.81;1808
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;I8;20.7;303.281;366.077;477
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A0;29.5;177.348;229.597;895
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Z6;20.3;212.426;255.522;175
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A3;30.5;204.975;267.535;2549
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Z5;18.7;222.951;264.617;254
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Z8;-3.1;192.157;186.26;27
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A2;22.6;234.859;287.961;2953
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A5;25.3;232.11;290.729;1930
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A4;25;387.825;484.677;1784
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Q9;16.2;470.023;546.241;1028
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A7;28.9;218.144;281.159;2670
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;A6;25.5;299.388;375.616;3092
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Q8;15.1;394.9;454.367;1083
